titulo,fecha,id,negocio,precio,precio_dolares,condicion
Apple iPhone 11 (128 Gb) - Negro,20210727,MLA931058415,null,172157,1782.,new
Apple iPhone 11 (64 Gb) - Morado,20210727,MLA931055809,null,164000,1698.,new
iPhone 8 64gb Space Gray Como Nuevos! Garantia Liberados!,20210727,MLA884068196,null,77000,797.3,new
Apple iPhone SE (2da Generación) 64 Gb - (product)red,20210727,MLA906135525,null,111999,1159.,new
iPhone 12 Pro 256gb Caja Sellada Garantía Apple,20210727,MLA871664484,WEB OPORTUNIDADES,410000,4245.,new
Apple iPhone SE (2da Generación) 128 Gb - Negro,20210727,MLA920812881,TITIN_COM,128500,1330.,new
iPhone 6 64 Gb  No Prende Repuesto,20210727,MLA930372687,null,4500,46.59,new
iPhone X 64gb Silver Reacondicionado Envio Gratis,20210727,MLA923747216,null,94383.33,977.3,new
 iPhone 7 32 Gb Negro Mate,20210727,MLA924562496,null,76999,797.3,new
Apple iPhone XR 128 Gb - Negro,20210727,MLA922924846,MISIONLIVE,146000,1511.,new
Televisor Smart Hitachi 50  4k Ultra Hd Android Le504k,20210727,MLA929136213,BAIRESIT,56999,590.2,new